duration,bytes_in,bytes_out,packets,protocol,label
0.4692680899768591,1983,1883,41,0,0
3.010121430917521,667,695,19,1,0
1.3167456935454493,626,308,12,1,0
0.9129425537759532,1688,409,9,0,1
0.16962487046234628,1483,675,7,0,1
0.16959629191460518,1485,1169,28,1,1
0.059838768608680676,143,1733,14,1,1
2.0112308644799395,1915,1722,31,1,0
0.9190821536272645,293,696,19,1,0
1.2312500617045903,1290,159,47,0,0
0.020799307999138622,1175,870,16,1,1
3.503557475158312,549,1850,5,0,0
1.786429543354675,1536,1667,35,1,1
0.238687625248947,138,1121,12,1,1
0.20067898874966336,192,1409,25,1,0
0.20261142283225705,1924,780,21,1,0
0.3627537294604771,953,1537,36,1,0
0.7439278308608545,1959,156,23,0,1
0.5655370667803367,917,1893,16,0,0
0.3442229925539415,377,830,39,1,1
0.9463708738997987,1769,1190,45,1,0
0.15023452872733867,861,1456,42,0,1
0.34551551200240227,1226,1971,39,1,1
0.45627721822084705,1783,1052,14,1,0
0.608934687859775,996,1704,31,0,1
1.537936011030912,1744,1121,5,1,1
0.2227358621286903,200,673,35,1,0
0.7220291550331277,1643,552,23,0,1
0.8975047213097606,840,1814,29,0,0
0.047563849756408545,437,841,43,0,1
0.9353330206496101,1340,1159,11,1,0
0.18696125197741642,855,1701,18,0,0
0.06726393087930424,1979,1181,47,0,1
2.973687793506931,1567,599,12,0,1
3.3706303424611725,1959,1664,9,0,1
1.6523315728128767,1455,527,10,0,1
0.3632878599687583,1198,1300,44,0,1
0.10277731500250624,1258,1948,17,1,0
1.1527507630986618,440,936,38,1,1
0.5800908425853983,679,1335,7,0,0
0.13015223395444864,1096,1252,46,0,0
0.6835472281341501,727,743,13,0,1
0.034993721443479085,499,1510,40,1,0
2.400422887393024,994,620,42,1,0
0.2994577768406861,1946,829,9,1,0
1.0862557985649803,509,900,27,1,0
0.37354658165762367,1438,286,2,1,1
0.7341108959092286,1085,1139,5,1,0
0.7912237979817975,789,193,29,1,1
0.20438859950790575,1733,1719,37,1,1
3.4928071327362264,77,1498,38,1,0
1.4922453771381408,269,1036,19,0,1
2.8050944192915823,1428,1149,8,0,1
2.2521519975341966,602,736,48,0,1
0.911054412383275,477,1348,45,0,0
2.549435379269405,1839,1283,1,1,1
0.09265545895311562,1346,1132,22,1,1
0.21813469463126745,66,1110,17,0,1
0.046281965686831954,265,1048,7,1,0
0.3935320868030868,1340,133,25,0,1
0.4921302917942186,837,1813,45,1,0
0.3165604432088257,1672,997,4,0,0
1.764557865240934,323,1051,36,1,0
0.44122699952987016,918,492,6,1,0
0.3298028401342492,999,1267,31,0,0
0.782407083207746,1544,951,19,1,0
0.15189814782062885,492,257,44,0,1
1.6204835957747312,1059,513,39,0,0
0.07747586881130901,1892,471,27,0,1
4.33414633958732,855,380,10,0,1
1.4794837762415114,698,590,26,1,0
0.22153944050588595,1579,1675,19,1,1
0.005537420375935475,586,1352,39,1,1
1.689896777486126,1255,1317,3,0,1
1.2270959073870447,1112,1797,45,1,1
1.305662908787999,1575,396,13,0,0
1.4752145260435134,56,62,28,1,1
0.07692926551379635,1235,1825,20,1,0
0.4438926724162325,1283,561,28,1,1
0.12315010460444965,197,1821,8,0,1
1.9885295716582227,516,1900,41,1,0
0.9763011917123741,1109,1163,39,1,1
0.401818801251301,1436,841,1,0,1
0.06566806580478289,557,1243,3,1,1
0.3724883504103537,138,1286,13,0,0
0.39331421318413134,1955,1969,28,1,1
1.3078757839577408,1808,801,49,0,0
1.01488935892602,1100,1722,25,0,1
2.1822519124015147,319,481,33,1,0
0.6390661333763098,1412,1671,38,0,0
0.1273723936155019,536,808,6,0,1
1.2491263443165994,341,1055,44,0,1
1.430392753076864,220,1388,45,0,0
